Carina O'Keefe, Chansey, moose
Stephan Runte, Cloyster, worm
Mario Kuhic, Bellsprout, eagle
Katharyn Christiansen MD, Electrode, impala
Lowell Gleichner, Vulpix, bee
Miss Johnie Jerde, Lickitung, elk
Criselda Wiegand, Kabuto, termite
Mrs. Layne Shields, Alakazam, trout
Trinidad Sauer, Koffing, skunk
Jayson Hoppe, Metapod, rhinoceros
Miss Dagmar Schmitt, Snorlax, panda
Saran Trantow DDS, Venonat, wasp
Minh Medhurst, Diglett, eagle
Caroline Krajcik, Magneton, koala
Mrs. Lee Dickinson, Ninetales, alligator
Yi Leannon Sr., Vulpix, platypus
Fern Okuneva, Tentacool, minnow
Lucio Borer, Mewtwo, turtle 
Jefferey Monahan III, Pidgeotto, mosquito
Felisha Doyle, Drowzee, reindeer
Miss Janise Nolan, Onix, dinosaur
Francene Feil, Tauros, wildebeest
Mikaela Smitham I, Ninetales, serval
Mrs. Floretta O'Reilly, Aerodactyl, wasp
Dr. Ron Kuhlman, Arbok, oyster
Miss Jed Pouros, Fearow, goat
Mr. Erasmo Smitham, Hitmonchan, guinea pig
Troy Schmidt, Tauros, cheetah
Mr. Else Rodriguez, Voltorb, dolphin
Wilbur Conn, Ditto, clam
Robena Donnelly DDS, Slowbro, gorilla
Precious Skiles, Doduo, cod
Aline Schumm, Zapdos, hamster
Ayako Russel, Kadabra, mallard
Richie Daniel Sr., Ivysaur, ox
Modesto McCullough, Pinsir, herring
Ms. Shayla Buckridge, Chansey, skunk
Dustin Douglas, Kabuto, hedgehog
Wendell Feil, Tentacruel, jellyfish
Serafina Jones, Eevee, hare
Kent Reichert, Pidgeotto, seal
Eleanor Boyer, Caterpie, manatee
Shirley Hamill, Lapras, pug
Renata Cormier, Victreebel, whale
Miss Markus Walsh, Electabuzz, weasel
Morris Pacocha III, Kabuto, mouse
Harris Rutherford, Pidgey, hippopotamus
Ebonie Flatley, Machop, beaver
Jerome Rohan, Nidoran, herring
Jess Pfeffer, Golduck, ox
