Dee Barton, Snorlax, gnat
Ying Witting, Mew, hyena
Milly Nikolaus, Weezing, gnat
Eloy Shanahan, Primeape, louse
Reagan Walsh, Nidorino, woodchuck
Mrs. Edison Jenkins, Butterfree, hippopotamus
Lenard Glover III, Slowpoke, wildebeest
Arthur Feest DDS, Mewtwo, bat
Jenette Okuneva, Alakazam, pug
Aurelio Smith Sr., Victreebel, oyster
Felicia Block, Golduck, mouse
Art Mann, Growlithe, kangaroo
Cody Herman, Sandslash, wolf
Miss Mellisa Cassin, Exeggcute, raccoon
Millard Dickinson, Gyarados, cockroach
Mr. Dalton Padberg, Poliwag, hornet
Samella Olson I, Doduo, frog
Mrs. Scotty Wehner, Tauros, lizard
Crystle Von, Sandslash, wolf
Derrick Doyle, Doduo, hippopotamus
Dante Schinner, Krabby, salmon
Roosevelt Rosenbaum, Kakuna, buffalo
Raymundo Rippin, Psyduck, wildebeest
Ms. Otilia Conroy, Ivysaur, fish
Shala Jenkins, Porygon, shark
Mr. Cameron Leuschke, Dewgong, cattle
Tempie Steuber, Mew, fly
Mee Gerhold, Kabutops, herring
Mrs. Adelaide Lesch, Dratini, mallard
Marlana Prosacco, Slowpoke, woodchuck
Jewell Dickinson, Gengar, elephant
Vonnie Nienow, Koffing, snake
Hwa Fay, Omastar, hound
Claude Adams, Weezing, clam
Rodney Mohr, Pinsir, skunk
Mrs. Honey Kessler, Ponyta, moose
Delma Swift, Metapod, oyster
Harlan McLaughlin IV, Tauros, mammoth
Khadijah Crooks, Vulpix, shark
Edmond Mayer Sr., Flareon, leopard
Frank Pouros, Porygon, impala
Nga Douglas, Alakazam, cat
Madelene Hahn, Graveler, crab
Miss Gilberte Blanda, Venomoth, fox
Corrin Kshlerin, Voltorb, gorilla
Hosea Nicolas, Rhydon, porpoise
Winnifred Muller, Sandslash, fish
Dr. Judson Mante, Weedle, camel
Jan Mayer Sr., Metapod, armadillo
Patsy Strosin, Tentacool, wombat
