Miss Jamar Lubowitz, Hitmonchan, tortoise
Santiago Fisher, Dratini, wolf
Katy Fritsch, Raichu, bear
Dr. Amber Balistreri, Machoke, kangaroo
Timmy Lebsack, Paras, seal
Rima Davis V, Charmeleon, marten
Art Hane, Wartortle, ferret
Eric Yost IV, Blastoise, yellowjacket
Dr. Kraig Blick, Magneton, chimpanzee
Isaias Witting, Charmeleon, raven
Miss Debrah Schoen, Pidgeot, grasshopper
Preston Hessel MD, Sandslash, gnat
Dalton Pollich, Beedrill, rat
Kelvin Bruen, Pinsir, cockroach
Colton Doyle, Tangela, locust
Christian Ortiz, Machamp, ape
Harrison Murazik, Lickitung, water buffalo
Arnold Johnson, Weedle, swan
Teodora Bernhard III, Chansey, trout
Clyde Bode, Nidorino, buffalo
Derek Keeling, Porygon, goose
Tyree Murphy, Magmar, oyster
Mr. Oscar Littel, Charmeleon, deer
Alva D'Amore PhD, Caterpie, goat
Miss Anastacia Schumm, Raticate, macaw
Benton Bins, Onix, salmon
Cedrick Kemmer, Lickitung, hyena
Tamica Crona MD, Kakuna, cat
Paola Jakubowski, Seadra, leopard
Sean Langosh, Tentacruel, mole
Rosalinda Ullrich, Mew, weasel
Zulma Borer, Charmeleon, ox
Mrs. Danny Halvorson, Psyduck, porcupine
Frederick Kuhn, Ekans, mink
Patrice Lebsack III, Squirtle, sea lion
Mr. Calvin Erdman, Mewtwo, rat
Justin Lakin, Oddish, yellowjacket
Matt Swaniawski III, Koffing, dolphin
Jc Marvin, Dodrio, yellowjacket
Domenic Hartmann III, Geodude, pug
Margarett Swaniawski Jr., Ditto, jellyfish
Robert Adams, Golbat, duck
Kristi Grimes, Weedle, herring
Jean Mohr, Pikachu, water buffalo
Kum Gleason, Magmar, platypus
Laurie Gerhold, Muk, hare
Bradley Herzog Jr., Meowth, mosquito
Abram Maggio, Venusaur, prairie dog
Tory Ritchie, Grimer, buffalo
Mr. Gregorio D'Amore, Charizard, gnat
