Marcia Satterfield, Weedle, beaver
Miss Jung VonRueden, Arbok, badger
Angla Gutmann, Staryu, platypus
Erick Kertzmann, Zubat, impala
Dr. Porsche Bruen, Kangaskhan, duck
Vince D'Amore, Raticate, skunk
Ms. Isaac Hettinger, Golduck, chinchilla
Sanford Crona, Gengar, butterfly
Dr. Bryan Mayert, Charmander, alpaca
David Paucek, Electabuzz, frog
Nicolas Thiel, Sandslash, mole
Chana Johns, Venusaur, ape
Miss Nathan Moen, Horsea, goose
Kathline Keebler, Cubone, shark
Benito Rippin, Snorlax, serval
Otelia Zieme, Venomoth, toad
Marie Hammes, Omanyte, jellyfish
Stanley Orn, Pidgeotto, mallard
Rolando Roob, Shellder, wallaby
Edwardo Lehner, Dragonair, clam
Holli Schuster, Gastly, lizard
Mr. Len Will, Venonat, walrus
Dean Dach, Starmie, sardine
Hilda Mueller DVM, Gastly, louse
Ronald Simonis DDS, Cloyster, antelope
Alexander Ebert, Mew, eagle
Dave Hessel MD, Kakuna, otter
Tomika Lemke, Ekans, fox
Pete Rolfson Sr., Grimer, ferret
Kenna Christiansen, Haunter, leopard
Eli Braun, Zapdos, cricket
Richard Weimann, Horsea, alligator
King Kuvalis, Charmeleon, salmon
Herta Wisozk, Articuno, antelope
Abraham King, Dragonite, ferret
Kevin Batz, Poliwhirl, cricket
Mr. Willia Schultz, Kakuna, gnu
Ms. Nigel Botsford, Persian, goose
Cedric Rath I, Gloom, elk
Dr. Sydney Hayes, Nidoqueen, locust
Rona Brakus, Meowth, skunk
Jermaine Turcotte, Vaporeon, wallaby
Lupe Grimes MD, Kakuna, moose
Ms. Lonna Casper, Sandshrew, gnat
Fay Lesch, Hitmonlee, louse
Isaac Bechtelar Jr., Charizard, cod
Ms. Jenny Green, Kingler, horse
Edgardo Toy DVM, Horsea, leopard
Mr. Lucy Feeney, Zapdos, dinosaur
Cherie Schaden, Electrode, mule
