Telma O'Conner, Staryu, kangaroo
Vincent Feil, Cubone, squirrel
Britt Wunsch V, Abra, tortoise
Daysi Durgan MD, Abra, impala
Marquetta Jenkins, Goldeen, cicada
Miss Hans O'Conner, Magikarp, monkey
Mrs. Sallie McLaughlin, Poliwrath, platypus
Victor Ernser, Jigglypuff, worm
Colby Littel, Kabutops, hippopotamus
Tommie Hilpert, Scyther, mole
Gayle Bergstrom, Tauros, jellyfish
Sherri Conn, Aerodactyl, leopard
Raphael Denesik DDS, Graveler, locust
Dr. Zane Lind, Raichu, salmon
Carolina Ullrich DDS, Zubat, swan
Zonia Hoppe, Kangaskhan, otter
Mr. Mauro Zemlak, Pinsir, beaver
Zack Kuhlman III, Goldeen, ant
Willard Mann, Venonat, gnu
Coralee Gutkowski MD, Ditto, gorilla
Verlie Nader, Moltres, elk
Teena Schroeder, Rhyhorn, ant
Julissa Pfeffer, Mew, swan
Jeramy Auer IV, Gengar, turtle 
Richie Hodkiewicz, Ivysaur, coyote
Wilford Hamill, Ditto, ape
Annett Jenkins, Pidgey, gnat
Brendon Kunze, Jigglypuff, sheep
Dylan Keebler, Fearow, manatee
Makeda Huel, Rhydon, duck
Samuel Mueller, Magikarp, pug
Kristan Parker, Ekans, cat
Romana Kessler MD, Vulpix, snail
Glenda Welch DVM, Charizard, clam
Benton Runte, Moltres, gerbil
Juli Wolff, Golbat, beetle
Tyrell Dicki, Staryu, spider
Sheilah Kirlin, Mew, salmon
Terrence Schaden, Charmander, goose
Mitch Thiel, Raichu, jellyfish
Elvin Connelly Jr., Nidoking, dinosaur
Collin Gaylord, Arbok, oyster
Felton Hagenes, Moltres, cheetah
Salvatore Dicki, Onix, herring
Dr. Marth Bernhard, Wigglytuff, rhinoceros
Verlene Feest, Beedrill, hyena
Ralph Robel, Alakazam, turtle 
Marshall Dickinson, Poliwhirl, cockroach
Dr. Eddie Ryan, Voltorb, cheetah
Al Hessel, Eevee, lion
