Adam Durgan, Eevee, cattle
Rea Bins, Machoke, gnat
Miss Richie Ryan, Spearow, raccoon
Santiago Windler, Venomoth, sardine
Collette Gleason, Jolteon, sea lion
Ms. Wilbur Kub, Magnemite, snake
Dr. William Grady, Zubat, lizard
Yanira Brown, Vileplume, hamster
Wendi Grady, Pinsir, lion
Jamel Gulgowski, Vileplume, mammoth
Quintin Will, Pikachu, cricket
Alva Bailey MD, Starmie, antelope
Lanell Altenwerth, Vileplume, elk
Lucilla Kassulke IV, Seel, bear
Jay Franecki, Goldeen, gerbil
Oscar Heidenreich, Butterfree, pug
Desmond Bednar III, Vulpix, jellyfish
Takako Durgan, Grimer, yak
Elois Abernathy DVM, Growlithe, frog
Vernice Jakubowski, Shellder, snail
Claudio Bins, Poliwag, leopard
Mrs. Frances Kuhic, Drowzee, bee
Syble Macejkovic, Machoke, zebra
Mrs. Marget Hermann, Nidoran, hippopotamus
Ms. Man Gibson, Scyther, llama
Jake Witting, Magmar, leopard
Agnes Bogan, Spearow, ant
Hans Paucek, Psyduck, camel
Rudolf Spencer, Tauros, giraffe
Larry Balistreri, Poliwag, caribou
Grady Wunsch, Primeape, gorilla
Deetta Streich Jr., Snorlax, buffalo
Nova Russel, Exeggutor, grasshopper
Raymundo Runolfsdottir III, Growlithe, cricket
Tora Nienow I, Primeape, cheetah
Clifton Towne, Electabuzz, jackal
Lonnie Barton, Scyther, mallard
Seymour Bartoletti, Spearow, ferret
Kristal Mraz, Starmie, wallaby
Lamonica Welch V, Krabby, caribou
Margarito Baumbach, Victreebel, weasel
Miss Tina Barrows, Bulbasaur, antelope
Malisa Gusikowski, Parasect, tortoise
Lucio Nolan, Raticate, bat
Dalton Quitzon, Ponyta, coyote
Miss Major Heaney, Cubone, mouse
Anneliese Kautzer, Hypno, frog
Les Gibson, Eevee, hyena
Jarred Bradtke, Pidgey, salmon
Yuk Orn, Grimer, louse
