Eusebio Padberg DDS, Dugtrio, water buffalo
Keith Rodriguez, Gengar, otter
Caryn Medhurst, Magikarp, clam
Terry Wiegand Jr., Kakuna, reindeer
Otis Ritchie, Tentacruel, hyena
Natacha Sanford, Poliwhirl, hare
Rex Schumm, Aerodactyl, impala
Miss Antony Cassin, Kadabra, dinosaur
Cassaundra Pfeffer, Primeape, buffalo
Dr. Dwight Yundt, Poliwhirl, caribou
Ms. Emil Leannon, Pikachu, moose
Deandrea Heathcote, Koffing, caribou
Jacqulyn Gorczany MD, Cubone, wasp
Hershel Crooks, Nidoran, clam
Miss Lyda Armstrong, Seadra, hornet
Monroe Schimmel, Seaking, guinea pig
Ms. Edda Heller, Lickitung, llama
Zetta Upton MD, Sandshrew, termite
Marcelo Johnston, Ditto, trout
Trang Dietrich, Raichu, snake
Ms. Judson Grimes, Alakazam, salmon
Dinorah Wilkinson, Rhydon, serval
Karena O'Kon I, Paras, mosquito
Dr. Jessie Gleason, Mr. Mime, prairie dog
Marcelina Williamson, Weedle, otter
Tara O'Kon, Charmeleon, pug
Josphine Weimann, Clefable, antelope
Roosevelt Collier, Clefairy, wolf
Ms. Elina Yost, Gloom, mouse
Miss Rosie Bartoletti, Wigglytuff, ox
Otto Fritsch, Pinsir, giraffe
Sandy Lesch, Lickitung, bear
Elana Walsh, Scyther, moose
Jordan Roob, Magmar, bear
Vannessa Hudson, Krabby, horse
Donetta Turcotte, Machop, locust
Katherin Mayer I, Golbat, baboon
Denis Kihn, Butterfree, fly
Leo Feeney, Articuno, buffalo
Reyes Mohr, Scyther, hedgehog
Autumn Johnson DVM, Hitmonchan, crow
Isaiah Jaskolski, Ditto, snake
Mr. Luz Gerhold, Poliwag, hippopotamus
Ms. Rob Cummerata, Horsea, deer
Slyvia Nolan, Dragonair, lizard
Dr. Aron Auer, Squirtle, badger
Margarete Runolfsson, Meowth, cockroach
Tamesha Marks I, Nidoran, elephant
Morton Moore, Pidgey, wallaby
Johnny Hintz, Vaporeon, lizard
