Christian Parker, Porygon, kangaroo
Miss Johnnie Reichert, Marowak, bat
Vito Mitchell, Cloyster, rat
Mr. Verdell Braun, Koffing, buffalo
Sarai Crona, Geodude, louse
Dr. Christopher Mohr, Exeggcute, hedgehog
Mrs. Ray Harris, Clefairy, tortoise
Frederic Sipes, Arcanine, crow
Fredric Wehner, Onix, water buffalo
Lakenya Vandervort, Gengar, termite
Dr. Gerard Pacocha, Poliwag, hornet
Jewel Mueller, Dragonair, water buffalo
Johnny Kuvalis, Dragonair, alpaca
Chang Ratke, Vileplume, mouse
Therese Ratke IV, Poliwag, jackal
Ms. Treena Gusikowski, Slowbro, hound
Miss Timothy Nikolaus, Zubat, otter
Torri Doyle, Marowak, giraffe
Leana Wehner, Magmar, jackal
Dr. Weldon Corkery, Diglett, goldfish
Erin Hackett, Hitmonlee, koala
Lelah Deckow, Wigglytuff, mallard
Lucile Gaylord, Paras, porcupine
Ernie Parisian, Gloom, wasp
Ms. Donya Shanahan, Nidoran, cattle
Kathrine Keebler, Golduck, leopard
Lucinda Casper, Psyduck, locust
Ms. Trey Mann, Rhydon, squirrel
Tracy Hahn, Poliwrath, porpoise
Idell Ortiz, Kabutops, spider
Neely Hirthe, Poliwhirl, antelope
Whitney Bradtke, Ditto, duck
Clifford Wiegand, Lapras, prairie dog
Jazmin Prosacco, Paras, bat
Karleen Wintheiser, Metapod, oyster
George Bayer, Kadabra, marten
Glenn Renner, Kakuna, squirrel
Francis Quitzon, Vileplume, prairie dog
Augustus Corwin I, Zapdos, rat
Stephen Sauer IV, Tentacruel, walrus
Pearl Baumbach, Kabutops, gnat
Salvador Koepp III, Exeggutor, caribou
Yolonda Koss III, Nidorino, swan
Bernie Roob, Chansey, impala
Reid Koelpin II, Machoke, spider
Joanie Schmidt Jr., Arcanine, reindeer
Michel Doyle, Geodude, crow
Lachelle Strosin, Tentacool, shark
Dr. Alan Volkman, Golbat, grasshopper
Li Herman, Venusaur, wombat
