Venice Willms, Muk, clam
Rob Lemke, Snorlax, salmon
Abdul Weimann, Kadabra, skunk
Samual Schmidt, Kakuna, otter
Hilario Anderson, Magnemite, pug
Altagracia Ferry, Nidoking, pug
Eduardo Abshire, Dugtrio, crab
Rayna Hodkiewicz, Primeape, ferret
Jeremiah Dibbert, Squirtle, rhinoceros
Ms. Jefferey Ortiz, Starmie, beetle
Valentin Berge, Porygon, marten
Karol McCullough IV, Alakazam, mule
Fumiko Terry, Gastly, bear
Miss Demetrice Dooley, Spearow, cheetah
Mr. Johna Kreiger, Machamp, coyote
Aiko Konopelski, Cubone, marten
Tamar Jaskolski, Hypno, hamster
Melanie Bailey, Persian, zebra
Marvis Paucek, Scyther, minnow
Rosalind Klocko, Bellsprout, bat
Miss Jordon Toy, Eevee, ferret
Malik Renner, Magnemite, camel
Tammy Will, Kakuna, goldfish
Pei Stark, Golbat, hound
Wilda Reichert I, Staryu, goat
Leonardo Jenkins, Fearow, snake
Miss Noel Gerhold, Starmie, cattle
Darrel Runte, Venusaur, panda
Kristine Hoppe, Gloom, wildebeest
Ayana Davis, Nidoran, mosquito
Elayne Gibson, Sandslash, ferret
Emery Kunde III, Magneton, gnu
Pam Smitham, Diglett, horse
Laverne Zulauf, Venonat, gerbil
Fernando Stoltenberg, Vulpix, lizard
Bernadette Rippin, Krabby, jellyfish
Dr. Randolph Kertzmann, Shellder, herring
Ashley Kreiger, Parasect, clam
Mimi Koch I, Scyther, wombat
Analisa Gleason, Nidoqueen, alligator
Elisha Balistreri, Slowpoke, jackal
Freddie Kulas, Omastar, panda
Alissa Kuvalis, Pidgeot, minnow
Deane Wiegand, Squirtle, elephant
Rocky Tillman Jr., Nidoking, camel
Barrett Bergnaum, Ninetales, zebra
Mr. Marcia Gleichner, Nidorino, alligator
Dina Hessel, Rapidash, alpaca
Karole Pagac, Gloom, woodchuck
Mr. Ashley Considine, Parasect, swan
