Kamilah Leffler, Lapras, snail
Corrine Kunze Jr., Charmander, sardine
Jann Boyle DDS, Vileplume, fish
Ashlyn Green DDS, Onix, wallaby
Londa Leannon, Geodude, tiger
Terrell Witting, Abra, llama
Karl Murray, Muk, deer
Isaiah Cassin, Charmander, armadillo
Glynis Watsica, Parasect, badger
Miss Ronda Greenfelder, Ninetales, sea lion
Britney Hoeger, Ninetales, gnat
Jody Kulas, Machoke, jackal
Herta Jakubowski, Pinsir, dog
Mickie Beatty I, Clefable, horse
Adam Walker, Pidgeot, dinosaur
Vaughn Towne, Poliwhirl, wombat
Mr. Anastacia Fadel, Hitmonchan, buffalo
Micheal Schaden, Poliwhirl, frog
Rickey Denesik, Victreebel, llama
Omer MacGyver, Krabby, elk
Jay Davis, Pidgey, lizard
Odell Douglas, Venusaur, tiger
Florrie Blick, Dragonair, mule
Kendrick Miller, Doduo, koala
Kelsey Schimmel, Caterpie, termite
Reynalda West V, Omastar, cockroach
Damian Flatley, Exeggutor, caribou
Dante Schiller PhD, Oddish, tiger
Miss Lakeisha Kirlin, Doduo, termite
Dotty Altenwerth, Pidgeot, chimpanzee
Ahmed Ferry, Omanyte, hyena
Ms. Augustine Schimmel, Slowpoke, sheep
Ferdinand Emard, Kakuna, cod
Oliver Gleichner, Kadabra, hippopotamus
Mr. Joe Kling, Tangela, hare
Forrest Bogisich, Arcanine, sheep
Nena Romaguera, Kingler, wombat
Ward Schaden, Pidgey, snake
Maragaret Boyer V, Kangaskhan, goose
Yessenia Brakus Sr., Bulbasaur, cheetah
Mrs. Roman Labadie, Articuno, gorilla
Numbers Anderson, Wartortle, hyena
Ashleigh O'Keefe, Goldeen, caribou
Arnulfo Stehr, Electabuzz, ferret
Ramonita Kunde, Wartortle, squirrel
Mrs. Kera Parisian, Moltres, skunk
Gregoria Rowe IV, Weedle, goat
Jannie Ruecker IV, Mewtwo, hornet
Socorro Grady Jr., Bellsprout, hedgehog
Ms. Jack Bednar, Rhydon, chimpanzee
