Kevin O'Kon, Kadabra, rhinoceros
Adalberto Hodkiewicz, Pikachu, fox
Teofila Jakubowski, Snorlax, kangaroo
Dr. Dominique Boyle, Vileplume, hyena
Angelo Emmerich, Moltres, leopard
Wilber Bergstrom DDS, Ditto, leopard
Clark Klocko, Wartortle, bat
Miss Reyna Considine, Oddish, locust
Omar Kuvalis, Charizard, dog
Gaylord Klein, Vaporeon, chinchilla
Drew Bogisich, Nidoqueen, crocodile
Rebbeca Abshire, Ivysaur, porcupine
Gaye Kuvalis, Jigglypuff, weasel
Vi Block, Dragonair, alligator
Emilio Conn, Ekans, chimpanzee
Krista Aufderhar, Victreebel, muskrat
Leonora Ratke, Arcanine, tiger
Jess Kuhn, Nidorina, gorilla
Sharonda Hessel, Ditto, ox
Sanford McDermott, Blastoise, sheep
Andrew Schmitt, Beedrill, monkey
Marcelene Kuvalis Jr., Weepinbell, herring
Jena Krajcik, Ivysaur, fly
Rob Ullrich DDS, Hitmonchan, goose
Devon Mayer, Persian, mole
Clare Gibson, Seaking, wombat
Fredia Turcotte, Gloom, mink
Miss Mardell Barton, Nidoran, mosquito
Tangela McClure, Slowbro, goat
Silas Johns Sr., Bulbasaur, guinea pig
Kayce Kulas, Wigglytuff, scorpion
Sixta Schmidt, Charmander, elephant
Rafael Lindgren Jr., Sandslash, yak
Stefani Schuster DDS, Vulpix, reindeer
Shira Treutel, Seaking, cat
Clair Hyatt, Tangela, otter
Hortencia Lemke, Zubat, cicada
Delmy Hintz II, Venusaur, alligator
Olinda Rosenbaum, Venonat, macaw
Leah Roberts, Alakazam, wasp
Donovan Rowe, Bulbasaur, scorpion
Roxana Schneider, Oddish, hound
Chantelle Miller, Eevee, muskrat
Wyatt West PhD, Pidgeotto, cheetah
Wilda Johns, Golduck, monkey
Roman Ward, Beedrill, scorpion
Jesus Durgan Sr., Goldeen, horse
Ricky Bogan, Squirtle, lion
Dave Schmitt, Poliwrath, cheetah
Davis Jenkins, Grimer, raven
