Tyrell Abshire, Victreebel, tortoise
Meggan Glover, Jynx, reindeer
Jamison Daugherty, Tangela, sardine
Colby King, Growlithe, serval
Bette Wolf, Omanyte, macaw
Sandy Cole, Drowzee, jackal
Tressa Reichert DDS, Horsea, squirrel
Louie Medhurst, Vileplume, koala
Mikel Bode V, Metapod, lion
Miss Horace Waelchi, Nidoking, dog
Randal Leffler, Dragonair, mosquito
Elwood Feil, Gloom, swan
Mr. Jeromy Mante, Electrode, mole
Laurette Gutkowski, Nidorina, gerbil
Charise Jacobson, Machoke, mole
Mr. Jarvis Raynor, Rapidash, buffalo
Parthenia Ryan, Poliwhirl, hedgehog
Rosario Klocko, Charmeleon, trout
Raquel Gaylord, Lickitung, wolf
Ms. Vashti Schuster, Krabby, oyster
Nakita Pollich III, Dragonair, hound
Florencio Kling DDS, Farfetch'd, crab
Thad Spinka, Nidoran, oyster
Bud Christiansen, Zubat, salmon
Dr. Doug Langworth, Golem, cicada
Dirk Moen, Electrode, jackal
Porfirio Grady, Graveler, gorilla
Jewel Nikolaus, Slowbro, elk
Ms. Georgia Smitham, Charizard, prairie dog
Dr. Lincoln Schaden, Mewtwo, macaw
Dr. Kate Kilback, Jynx, mink
Del Kirlin, Tangela, marten
Emilio Hills, Sandslash, fox
Louis Hermann, Aerodactyl, eel
Mrs. Jospeh Dibbert, Weedle, impala
Lulu Powlowski, Slowpoke, rat
Cristin Deckow, Charmeleon, ferret
Shani Rogahn, Pikachu, sea lion
Luba Nader, Nidoqueen, buffalo
Ossie Bahringer, Magikarp, chimpanzee
Boyce Roberts, Dratini, elephant
Ms. Edwin Labadie, Kingler, hare
Darryl Wiza Sr., Cloyster, jackal
Lacy Moen, Lapras, fly
Shaniqua Shields, Seadra, fox
Eliza Armstrong, Aerodactyl, rat
Hyman Larkin, Ditto, walrus
Mrs. Estefana Daniel, Electabuzz, sheep
Tanya Koss, Seaking, prairie dog
Richard Raynor I, Blastoise, baboon
