Maryjane Schamberger, Staryu, bat
Ozzie Rippin, Voltorb, wolf
Mrs. Christine Von, Venomoth, shark
Carry Skiles, Flareon, whale
Mrs. Edra Jaskolski, Kabuto, wildebeest
Valery Kertzmann, Kabuto, baboon
Robby Howe Jr., Marowak, mosquito
Lynwood Tillman MD, Graveler, sheep
Janey Dibbert, Graveler, mallard
Dorcas Gerlach PhD, Tentacool, snake
Antwan Fisher, Bulbasaur, rhinoceros
Verona Schneider, Gyarados, horse
Wes Hane, Weezing, fly
Leda Konopelski, Goldeen, rabbit
Dr. King Corwin, Zubat, toad
Luz Pouros, Krabby, mole
Larae Mann, Sandshrew, guinea pig
Lenny Hills, Krabby, water buffalo
Pearline Brakus, Moltres, frog
Dr. Jorge Jones, Dragonair, elephant
Miss Kam Kshlerin, Meowth, cat
Normand Bins, Geodude, hippopotamus
Daphine Blanda DDS, Omastar, pug
Leandra Lebsack, Venusaur, jellyfish
Jerome Little, Graveler, scorpion
Daren Kuhic, Persian, turtle 
Mr. Carson Hettinger, Butterfree, cattle
Marcelo Bartell Sr., Graveler, hamster
Elizebeth Legros, Squirtle, sheep
Renita Jacobson, Moltres, oyster
Katelin Kohler, Wigglytuff, muskrat
Lester Tromp, Arbok, porcupine
Ward Johns, Tauros, snake
Elton Feest, Wartortle, swan
Sonny MacGyver, Onix, armadillo
Elias Langworth, Jigglypuff, serval
Wilford Mosciski, Kabuto, moose
Aurora Kub, Drowzee, frog
Maurice Kozey, Dragonair, shark
Hank Rogahn I, Ditto, alligator
Lara Dicki, Growlithe, alpaca
Linnea Okuneva, Jynx, impala
Mark Braun, Omastar, louse
Mike Cummerata, Spearow, termite
Devora Hyatt, Marowak, squirrel
Dr. Johnnie Carter, Graveler, mule
Johnny Ankunding I, Zubat, fly
Dr. Lindsay Price, Staryu, tortoise
Wilbur Schroeder, Tentacruel, spider
Mrs. Jamie Yundt, Voltorb, turtle 
