Shala Glover, Meowth, louse
Corazon Wyman, Pikachu, worm
Richard Witting, Goldeen, impala
Joya Swift, Exeggutor, salmon
Katy Cronin, Poliwrath, bat
Mr. Xavier Nicolas, Exeggutor, beaver
Mr. Ruthie Simonis, Seadra, otter
Mrs. Mikel Ziemann, Zapdos, snake
Adrien Purdy, Pidgey, llama
Maribeth Jenkins DDS, Psyduck, fish
Daniell Roberts, Kangaskhan, alligator
Willard Gutmann, Scyther, deer
Denny Ullrich, Koffing, tiger
Adela Gleichner, Weepinbell, mallard
Mrs. Zachariah Monahan, Kadabra, squirrel
Conchita Bogan, Dragonite, fish
Chadwick Okuneva, Nidoran, weasel
Nelson Beier, Tauros, yellowjacket
Rosendo Ward, Weezing, swan
Erline Hilll, Venonat, crab
Bo Herzog I, Dragonite, beetle
Candie Conn, Mr. Mime, bee
Rupert Okuneva, Exeggutor, cicada
Ms. Pearlie Legros, Scyther, raven
Stuart McGlynn I, Horsea, ant
Toby Crona, Nidorino, chimpanzee
Altagracia Hackett, Alakazam, hornet
Luigi Metz, Squirtle, woodchuck
Virgilio Lowe, Nidoqueen, chinchilla
Lashaunda McKenzie DVM, Oddish, wasp
Ms. Joe Morar, Lickitung, cat
Miriam Aufderhar, Weedle, rabbit
Melina Friesen, Psyduck, panda
Travis Reilly, Tentacool, walrus
Twila Olson, Vaporeon, frog
Garfield Gibson, Ekans, dolphin
Elvis Hirthe, Ponyta, alpaca
Miss Buford Schmeler, Nidoran, otter
Zona Runte, Arbok, snake
Winford Schultz, Abra, gerbil
Merry Kohler IV, Gengar, alligator
Terrell Konopelski, Farfetch'd, dog
Venetta Lindgren, Vaporeon, cheetah
Kathryn Lubowitz, Bulbasaur, oyster
Alfred Schinner, Primeape, gnu
Timmy Towne, Magnemite, clam
Leland Kuhic IV, Primeape, dog
Jamey Wolff, Electrode, frog
Mary Boyle, Spearow, otter
Erich Stark I, Dragonair, raccoon
