Alexia Hoeger, Jynx, pug
Ms. Eura Steuber, Venusaur, crow
Junior Feest, Oddish, louse
Cassey King DDS, Scyther, koala
Mark Abbott, Rapidash, koala
Hiroko Farrell, Dragonite, clam
Elvia Schinner DDS, Caterpie, platypus
Willy Kertzmann, Raichu, bat
Josue Hauck, Weezing, mallard
Christene Windler, Ninetales, koala
Tamiko Shields, Muk, grasshopper
Numbers Leffler, Dratini, porpoise
Ms. Paulita Langosh, Pinsir, monkey
Dr. Dick Leannon, Poliwrath, whale
Mrs. Libbie O'Reilly, Nidoking, wolf
Delena Sanford, Poliwrath, antelope
Leroy Towne, Pidgeot, shark
Babette Predovic, Paras, chinchilla
Mr. Priscilla Sporer, Gastly, scorpion
Isaiah Kris, Graveler, ant
Orville Daniel, Poliwhirl, alligator
Donald Dooley, Golem, reindeer
Quentin Sauer DDS, Raticate, sea lion
Joelle Huels V, Ninetales, butterfly
Davis McGlynn DDS, Machamp, sheep
Miss Nannette Wolf, Eevee, gnu
Walton Luettgen, Machoke, porpoise
Lexie Schaden, Slowbro, cod
Antony Hintz I, Geodude, crow
Janee Torphy, Pidgey, snail
Winfred Bernier, Venusaur, koala
Nu Feest, Omanyte, eel
Ms. Isidro Hansen, Rhyhorn, dinosaur
Bao Quitzon IV, Shellder, fish
Robena Gerhold, Nidoran, scorpion
Leland Yundt, Electabuzz, beetle
Mrs. Sunday Gutkowski, Nidoran, worm
Mel Schinner, Pikachu, cricket
Nery Miller MD, Fearow, fox
Murray Bradtke, Ponyta, seal
Sandra Rodriguez, Seaking, armadillo
Ricky Stokes, Cubone, muskrat
Miss Jacques Daugherty, Muk, otter
Li Morar, Dragonite, elk
Graham Lebsack DVM, Paras, mole
Sandie Hane, Metapod, porpoise
Ernestina Lesch, Charmeleon, coyote
Frederick Schumm, Haunter, cattle
Mr. Bette Hansen, Tangela, eel
Kraig Leannon, Lapras, wallaby
