Justa Hoeger, Primeape, alligator
Mr. Wyatt Ebert, Nidoran, hedgehog
Miss Aletha Borer, Clefable, mink
Andreas Abernathy, Nidorina, trout
Starr Schaefer Jr., Horsea, mouse
Florance Batz, Poliwag, hedgehog
Don Halvorson DDS, Arbok, goldfish
Dayna Skiles, Raichu, caribou
Dario Lebsack I, Bellsprout, deer
Billie Lockman, Primeape, raven
Wilmer Abbott, Rattata, chinchilla
Shasta Smith, Ivysaur, woodchuck
Julian Schaden, Poliwhirl, mosquito
Garth Quigley, Blastoise, duck
Fleta Hodkiewicz, Omanyte, fly
Myrle Maggio, Gastly, rat
Mr. Georgia Cremin, Jigglypuff, louse
Ms. Tosha Hane, Snorlax, toad
Mrs. Nicolasa Pagac, Charizard, oyster
Nenita McClure, Ivysaur, mammoth
Terra Olson II, Tangela, chinchilla
Maximo Kertzmann, Kabutops, bear
Lakenya Jenkins, Eevee, wolf
Chantelle Rau, Omastar, bee
Jerrod Bashirian, Electrode, llama
Vada Oberbrunner, Hitmonchan, camel
Darlena Douglas DVM, Ditto, coyote
Toney Konopelski, Graveler, butterfly
Daisey Hudson, Lickitung, eagle
Burton Larson, Clefairy, elk
Rickey Thompson, Farfetch'd, panda
Darius Dach Sr., Sandshrew, yak
Damaris Kulas DVM, Ivysaur, louse
Shirlee Maggio, Haunter, scorpion
Damaris Kohler, Tentacool, antelope
Mr. Kecia Schoen, Magneton, rhinoceros
Roselyn Marquardt, Gyarados, otter
Frances Emmerich, Rhydon, serval
Mr. Lamar O'Kon, Aerodactyl, mouse
Miss Jestine Mayert, Ponyta, jackal
Santos Gleichner, Dratini, skunk
Lenny Torphy, Oddish, cod
Ilda Quitzon, Exeggutor, wallaby
Ms. Derrick Bosco, Farfetch'd, otter
Major Senger, Clefable, ape
Cameron Murray DVM, Mr. Mime, marten
Desmond Shields, Vulpix, crocodile
Michele Dooley, Tauros, kangaroo
Harvey Mertz MD, Clefairy, chimpanzee
Robby Kuhlman, Weedle, hare
